length_natural,od,wire_dia,length_max,load_min,load_max,stiffness,material,pkg_qty,part_number,pkg_cost
0.022225,0.006096,0.0007366,0.037211,1.779288,20.01699,1225.8874015748,Music-Wire Steel,3,9044K115,5.89
0.022225,0.006096,0.0007874,0.035052,2.22411,23.575566,1733.75503937008,Music-Wire Steel,5,5108N253,14.92
0.022225,0.006096,0.0008636,0.032004,2.891343,31.13754,2802.02834645669,Music-Wire Steel,5,5108N271,14.92
0.022225,0.006096,0.0009398,0.031496,4.44822,42.702912,4203.04251968504,Music-Wire Steel,1,8594N104,4.37
0.022225,0.006096,0.0010414,0.027686,4.44822,57.82686,9631.97244094488,Music-Wire Steel,1,8594N106,4.37
0.022225,0.0091186,0.0007874,0.042164,1.334466,18.237702,858.121181102362,Music-Wire Steel,1,8594N116,3.59
0.022225,0.009144,0.0007874,0.03556,1.4679126,16.4139318,1103.29866141732,Music-Wire Steel,5,5108N359,14.92
0.0254,0.0023876,0.000254,0.068326,0.222411,2.668932,52.538031496063,Music-Wire Steel,5,5108N033,13.38
0.0254,0.0023876,0.0002794,0.059182,0.2668932,3.113754,87.5633858267717,Music-Wire Steel,5,5108N04,13.38
0.0254,0.0023876,0.0003048,0.05334,0.444822,4.44822,140.101417322835,Music-Wire Steel,5,5108N047,13.38
0.0254,0.0023876,0.0003302,0.047244,0.444822,5.115453,210.152125984252,Music-Wire Steel,5,5108N054,13.38
0.0254,0.0023876,0.0003556,0.04318,0.7561974,6.67233,332.740866141732,Music-Wire Steel,5,5108N061,13.38
0.0254,0.0023876,0.0004064,0.038608,0.8451618,9.563673,647.96905511811,Music-Wire Steel,5,5108N068,13.38
0.0254,0.003048,0.0005588,0.034544,1.556877,17.3035758,1698.72968503937,Music-Wire Steel,5,5108N106,10.45
0.0254,0.003175,0.0003556,0.0455168,0.667233,3.3806472,134.847614173228,Music-Wire Steel,12,9654K965,10.05
0.0254,0.003175,0.0004064,0.0388112,1.1565372,4.893042,278.451566929134,Music-Wire Steel,12,9654K966,10.05
0.0254,0.003175,0.0004572,0.0346964,1.8237702,6.7612944,530.634118110236,Music-Wire Steel,12,9654K967,10.05
0.0254,0.003175,0.000508,0.0322072,2.5799676,9.0743688,952.689637795276,Music-Wire Steel,12,9654K968,10.05
0.0254,0.004572,0.0003556,0.093726,0.3113754,3.4251294,52.538031496063,Music-Wire Steel,5,5108N117,14.92
0.0254,0.004572,0.0004572,0.062484,0.6227508,6.894741,175.126771653543,Music-Wire Steel,3,9044K17,5.89
0.0254,0.004572,0.0005588,0.047244,0.889644,11.565372,490.354960629921,Music-Wire Steel,3,9044K42,5.89
0.0254,0.004572,0.0006096,0.043434,1.3789482,15.346359,770.557795275591,Music-Wire Steel,5,5108N146,14.92
0.0254,0.004572,0.0006604,0.039878,1.779288,18.682524,1190.86204724409,Music-Wire Steel,5,5108N159,14.92
0.0254,0.004572,0.0007366,0.036322,2.3130744,25.8886404,2136.54661417323,Music-Wire Steel,3,9044K59,5.89
0.0254,0.004572,0.0007874,0.03429,2.668932,30.247896,3117.25653543307,Music-Wire Steel,5,5108N18,14.92
0.0254,0.004572,0.0008636,0.032512,3.6030582,39.9005334,5113.70173228347,Music-Wire Steel,5,5108N193,14.92
0.0254,0.0047752,0.0004064,0.057912,0.4893042,3.336165,87.5633858267717,Music-Wire Steel,12,9654K969,10.25
0.0254,0.0047752,0.000508,0.0430022,1.2455016,6.2719902,285.456637795276,Music-Wire Steel,12,9654K971,10.25
0.0254,0.0047752,0.0005842,0.03937,2.3575566,10.230906,569.162007874016,Zinc-Plated Spring-Tempered Steel,12,9654K101,7.65
0.0254,0.0047752,0.000635,0.0343662,3.0247896,11.6543364,963.197244094488,Music-Wire Steel,12,9654K972,10.25
0.0254,0.0059436,0.000508,0.041402,0.7117152,2.3575566,120.837472440945,Music-Wire Steel,12,9654K311,21.14
0.0254,0.006096,0.0004572,0.08382,0.4893042,5.2488996,87.5633858267717,Music-Wire Steel,5,5108N203,14.92
0.0254,0.006096,0.0005588,0.061976,0.8451618,9.2078154,227.664803149606,Music-Wire Steel,5,5108N21,14.92
0.0254,0.006096,0.0006604,0.050038,1.334466,14.679126,525.38031496063,Music-Wire Steel,5,5108N224,14.92
0.0254,0.006096,0.0007366,0.044196,1.779288,20.01699,963.197244094488,Music-Wire Steel,3,9044K117,5.89
0.0254,0.006096,0.0007874,0.041656,2.22411,23.575566,1313.45078740157,Music-Wire Steel,5,5108N254,14.92
0.0254,0.006096,0.0008636,0.0381,2.891343,31.13754,2224.11,Music-Wire Steel,5,5108N272,14.92
0.0254,0.006096,0.0009398,0.03556,3.558576,38.699514,3467.51007874016,Music-Wire Steel,5,5108N288,14.92
0.0254,0.006096,0.0010414,0.033274,4.670631,51.821763,6059.3862992126,Music-Wire Steel,5,5108N302,14.92
0.0254,0.00635,0.0005842,0.0454406,1.2010194,7.0281876,290.710440944882,Music-Wire Steel,12,9654K973,10.25
0.0254,0.00635,0.0007112,0.036703,2.7134142,12.1881228,838.857236220472,Music-Wire Steel,12,9654K974,10.25
0.0254,0.00635,0.0007366,0.0381,2.9803074,14.5901616,912.410480314961,Zinc-Plated Spring-Tempered Steel,12,9654K108,10.08
0.0254,0.00635,0.0007874,0.0337058,4.0478802,16.1915208,1462.30854330709,Music-Wire Steel,12,9654K975,10.25
0.0254,0.00762,0.000762,0.05588,1.779288,19.572168,612.943700787402,Music-Wire Steel,1,8594N107,4.37
0.0254,0.00762,0.0007874,0.046736,1.7348058,19.5276858,823.095826771653,Music-Wire Steel,5,5108N317,14.92
0.0254,0.00762,0.0009398,0.039624,2.891343,32.027184,2066.49590551181,Music-Wire Steel,5,5108N328,14.92
0.0254,0.00762,0.0010922,0.037592,4.44822,53.37864,3852.78897637795,Music-Wire Steel,1,8594N108,4.37
0.0254,0.00762,0.0012446,0.032512,6.227508,69.392232,8878.92732283465,Music-Wire Steel,5,5108N335,14.92
0.0254,0.00762,0.001397,0.030734,8.5405824,94.7915682,16339.3277952756,Music-Wire Steel,5,5108N346,14.92
0.0254,0.0079502,0.0007366,0.043942,1.9572168,11.6543364,528.882850393701,Zinc-Plated Spring-Tempered Steel,12,9654K116,10.26
0.0254,0.0079502,0.000889,0.036322,4.3592556,20.684223,1507.84150393701,Zinc-Plated Spring-Tempered Steel,12,9654K346,10.26
0.0254,0.009144,0.0006604,0.058928,0.889644,10.008495,262.690157480315,Music-Wire Steel,5,5108N353,14.92
0.0254,0.009144,0.0007874,0.051308,1.4679126,16.4139318,560.405669291339,Music-Wire Steel,5,5108N36,14.92
0.0254,0.009144,0.0008636,0.04445,1.9127346,21.2624916,1015.73527559055,Music-Wire Steel,5,5108N371,14.92
0.0254,0.009144,0.0009398,0.042672,2.22411,26.244498,1383.50149606299,Music-Wire Steel,5,5108N387,14.92
0.0254,0.009144,0.0009906,0.039624,2.8023786,31.2265044,2013.95787401575,Music-Wire Steel,5,5108N399,14.92
0.0254,0.009144,0.0010414,0.03937,3.113754,35.140938,2259.13535433071,Music-Wire Steel,5,5108N411,14.92
0.0254,0.009144,0.001143,0.036322,4.003398,45.371844,3817.76362204724,Music-Wire Steel,3,9044K245,5.89
0.0254,0.009144,0.0012446,0.033782,5.337864,58.716504,6304.56377952756,Music-Wire Steel,5,5108N436,14.92
0.0254,0.009144,0.001397,0.032004,7.117152,78.288672,11313.1894488189,Music-Wire Steel,5,5108N453,14.92
0.0254,0.009144,0.0014732,0.031242,8.4071358,93.5015844,14798.2122047244,Music-Wire Steel,5,5108N465,15.2
0.0254,0.010668,0.0009398,0.039116,2.22411,23.130744,1541.11559055118,Music-Wire Steel,5,5108N482,15.47
0.0254,0.010668,0.001143,0.035052,3.6475404,40.3008732,3852.78897637795,Music-Wire Steel,5,5108N493,15.47
0.0254,0.010668,0.001397,0.03175,6.227508,70.281876,9912.17527559055,Music-Wire Steel,5,5108N504,15.47
0.0254,0.0127,0.001143,0.034544,3.113754,38.254692,3852.78897637795,Music-Wire Steel,3,9654K205,11.31
0.028575,0.003048,0.0003556,0.064262,0.444822,4.9820064,122.58874015748,Music-Wire Steel,5,5108N069,10.45
0.028575,0.003048,0.0004064,0.052578,0.889644,7.117152,245.177480314961,Music-Wire Steel,5,5108N077,10.45
0.028575,0.003048,0.0004572,0.045974,0.889644,9.786084,490.354960629921,Music-Wire Steel,5,5108N084,10.45
0.028575,0.003048,0.0005588,0.039116,1.556877,17.3035758,1488.57755905512,Music-Wire Steel,5,5108N107,10.45
0.028575,0.004572,0.0004572,0.072517,0.6227508,6.894741,140.101417322835,Music-Wire Steel,3,9044K19,5.89
0.028575,0.004572,0.000508,0.06223,0.8451618,9.2522976,245.177480314961,Music-Wire Steel,5,5108N126,14.92
0.028575,0.004572,0.0005588,0.054102,0.889644,11.565372,420.304251968504,Music-Wire Steel,5,5108N135,14.92
0.028575,0.004572,0.0006096,0.049784,1.3789482,15.346359,647.96905511811,Music-Wire Steel,5,5108N147,14.92
0.028575,0.004572,0.0006604,0.045212,1.779288,18.682524,1033.24795275591,Music-Wire Steel,5,5108N16,14.92
0.028575,0.004572,0.0007366,0.041402,2.3130744,25.8886404,1821.31842519685,Music-Wire Steel,5,5108N168,14.92
0.028575,0.004572,0.0007874,0.038862,2.668932,30.247896,2661.92692913386,Music-Wire Steel,5,5108N181,14.92
